Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
CYP1A2	CP12, P3-450	ENSG00000140505	Cytochrome P450, family 1, subfamily A, polypeptide 2	15	75041185-75048543	Cancer-related genes, Enzymes, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB016531	Supportive			Tissue enriched	561	liver: 299.2	placenta: 0.5
FNDC8	DKFZp434H2215	ENSG00000073598	Fibronectin type III domain containing 8	17	33448598-33457751	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA026521	Supportive			Tissue enriched	560	testis: 56.0	cerebral cortex: 0.1
SPACA7	C13orf28	ENSG00000153498	Sperm acrosome associated 7	13	113030633-113089003	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	554	testis: 55.4	adipose tissue: 0.0
PDHA2	PDHAL	ENSG00000163114	Pyruvate dehydrogenase (lipoamide) alpha 2	4	96761239-96762625	Citric acid cycle related proteins, Enzymes, Mitochondrial proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA047487, HPA047864, HPA063053	Uncertain			Tissue enriched	551	testis: 55.1	adipose tissue: 0.0
APOA5	APOA-V, RAP3	ENSG00000110243	Apolipoprotein A-V	11	116660083-116663136	Disease related genes, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	547	liver: 158.8	testis: 0.3
SYCN	FLJ27441, INSSA1, SYL	ENSG00000179751	Syncollin	19	39693471-39694906	Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA047654	Supportive			Tissue enriched	545	pancreas: 5584.1	testis: 10.2
OPALIN	HTMP10, TMEM10, TMP10	ENSG00000197430	Oligodendrocytic myelin paranodal and inner loop protein	10	98102973-98119092	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA014372	Supportive			Tissue enriched	542	cerebral cortex: 54.2	adipose tissue: 0.0
PRH1	Pa	ENSG00000231887	Proline-rich protein HaeIII subfamily 1	12	11033610-11036854	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level							Tissue enriched	538	salivary gland: 7746.2	pancreas: 14.4
PSG1	CD66f, PBG1, PSBG1, PSGGA	ENSG00000231924	Pregnancy specific beta-1-glycoprotein 1	19	43370616-43383974	CD markers, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA046327	Uncertain			Tissue enriched	537	placenta: 458.2	smooth muscle: 0.9
DEFA1	DEF1, DEFA2, HNP-1, MRS	ENSG00000206047	Defensin, alpha 1	8	6835171-6837602	Cancer-related genes, Plasma proteins, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level		CAB032548, HPA052517	Supportive			Tissue enriched	533	bone marrow: 23277.3	spleen: 43.7
PRTN3	ACPA, AGP7, C-ANCA, MBT, P29, PR-3	ENSG00000196415	Proteinase 3	19	840963-848175	Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA005938, CAB017558	Uncertain			Tissue enriched	530	bone marrow: 724.0	spleen: 1.4
TSACC	C1orf182, SIP, SSTK-IP	ENSG00000163467	TSSK6 activating co-chaperone	1	156307105-156316786		Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA028149, HPA029897	Uncertain			Tissue enriched	524	testis: 488.1	liver: 0.9
BPIFA3	bA49G10.4, C20orf71, SPLUNC3	ENSG00000131059	BPI fold containing family A, member 3	20	31805116-31815564	Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA062708	Supportive			Tissue enriched	522	testis: 52.2	adipose tissue: 0.0
CELA3A	ELA3, ELA3A	ENSG00000142789	Chymotrypsin-like elastase family, member 3A	1	22328149-22339032	Enzymes, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA045650	Supportive			Tissue enriched	519	pancreas: 51227.1	ovary: 98.7
CELA2A	ELA2A	ENSG00000142615	Chymotrypsin-like elastase family, member 2A	1	15783223-15798586	Enzymes, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	518	pancreas: 25078.3	ovary: 48.4
PSG11	MGC22484, PSG13, PSG14	ENSG00000243130	Pregnancy specific beta-1-glycoprotein 11	19	43511808-43530664	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA042240, HPA046327	Supportive			Tissue enriched	514	placenta: 266.1	smooth muscle: 0.5
MYH1	MGC133384, MYHa, MyHC-2X/D, MYHSA1	ENSG00000109061	Myosin, heavy chain 1, skeletal muscle, adult	17	10395624-10421860	Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA001349, CAB010759	Supportive			Tissue enriched	508	skeletal muscle: 1834.3	prostate: 3.6
CELA3B	CBPP, ELA3B	ENSG00000219073	Chymotrypsin-like elastase family, member 3B	1	22303514-22325135	Enzymes, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA045650	Supportive			Tissue enriched	496	pancreas: 17378.1	ovary: 35.1
ANKRD7	TSA806	ENSG00000106013	Ankyrin repeat domain 7	7	117854727-117882785	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA043489	Uncertain	Uncertain	Nucleus	Tissue enriched	492	testis: 552.7	thyroid gland: 1.1
AZU1	AZAMP, AZU, CAP37, HBP, HUMAZUR, NAZC	ENSG00000172232	Azurocidin 1	19	825097-832017	Enzymes, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA055851	Uncertain			Tissue enriched	473	bone marrow: 1412.8	spleen: 3.0
IQCF1	MGC39725	ENSG00000173389	IQ motif containing F1	3	51928892-51937351	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	473	testis: 47.3	adipose tissue: 0.1
SLC25A31	ANT4, DKFZP434N1235	ENSG00000151475	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 31	4	128651533-128695448	Mitochondrial proteins, Predicted membrane proteins, Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA015064, HPA016841	Uncertain	Supportive	Mitochondria	Tissue enriched	472	testis: 47.2	adipose tissue: 0.0
SMCP	MCSP	ENSG00000163206	Sperm mitochondria-associated cysteine-rich protein	1	152850793-152857523	Mitochondrial proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA035105	Uncertain			Tissue enriched	472	testis: 338.2	cerebral cortex: 0.7
CST5		ENSG00000170367	Cystatin D	20	23856572-23860387	Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB024944, HPA061449	Supportive			Tissue enriched	469	salivary gland: 1066.0	lung: 2.3
GFAP	FLJ45472	ENSG00000131095	Glial fibrillary acidic protein	17	42982376-42994305	Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB000039, HPA056030	Supportive			Tissue enriched	463	cerebral cortex: 1372.3	heart muscle: 3.0
KRT77	KRT1B	ENSG00000189182	Keratin 77	12	53083410-53097247	Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA045934	Supportive			Tissue enriched	463	skin: 221.4	skeletal muscle: 0.5
PSG2	CEA, PSBG2, PSG1, PSGGB	ENSG00000242221	Pregnancy specific beta-1-glycoprotein 2	19	43568363-43587197	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enriched	454	placenta: 539.7	smooth muscle: 1.2
FMR1NB	CT37, FLJ25736, NY-SAR-35	ENSG00000176988	Fragile X mental retardation 1 neighbor	X	147062849-147108187	Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA011284, CAB026403	Supportive	Supportive	Nucleoli	Tissue enriched	449	testis: 44.9	adipose tissue: 0.1
DEFB119	DEFB-19, DEFB-20, DEFB120	ENSG00000180483	Defensin, beta 119	20	29964967-29978406	Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA043059	Supportive			Tissue enriched	440	testis: 234.2	duodenum: 0.5
H1FNT	H1T2, HANP1	ENSG00000187166	H1 histone family, member N, testis-specific	12	48722763-48724062	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA046204	Uncertain			Tissue enriched	439	testis: 43.9	bone marrow: 0.1
DEFA4	DEF4, HP-4	ENSG00000164821	Defensin, alpha 4, corticostatin	8	6793344-6795860	Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA051266	Supportive			Tissue enriched	438	bone marrow: 1622.3	spleen: 3.7
RNF151		ENSG00000179580	Ring finger protein 151	16	2016824-2018976		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA055054	Uncertain			Tissue enriched	434	testis: 43.4	skin: 0.1
SERPINA11		ENSG00000186910	Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 11	14	94908801-94919127	Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enriched	433	liver: 247.9	esophagus: 0.6
IRGC	CINEMA, Iigp5, IRGC1	ENSG00000124449	Immunity-related GTPase family, cinema	19	44220162-44224173	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA046769, HPA060064	Supportive			Tissue enriched	432	testis: 43.2	appendix: 0.1
IQCF5		ENSG00000214681	IQ motif containing F5	3	51907737-51909600	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA049556	Uncertain			Tissue enriched	423	testis: 42.3	adipose tissue: 0.0
HSD3B2	SDR11E2	ENSG00000203859	Hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2	1	119957554-119965658	Disease related genes, Enzymes, FDA approved drug targets, Mitochondrial proteins, Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA043261, HPA043264, HPA044028	Supportive			Tissue enriched	417	adrenal gland: 1466.8	testis: 3.5
TEX33	C22orf33, EAN57, MGC35206	ENSG00000185264	Testis expressed 33	22	37387163-37403882	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA005998	Supportive			Tissue enriched	416	testis: 41.6	adipose tissue: 0.0
DDX4	VASA	ENSG00000152670	DEAD (Asp-Glu-Ala-Asp) box polypeptide 4	5	55033845-55112985	Enzymes, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB026170, HPA037763, HPA037764	Supportive			Tissue enriched	414	testis: 130.2	tonsil: 0.3
DEFA1B		ENSG00000240247	Defensin, alpha 1B	8	6854288-6875778	Cancer-related genes, Plasma proteins, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA052517	Uncertain			Tissue enriched	411	bone marrow: 22409.8	spleen: 54.5
ACTL7B	Tact1	ENSG00000148156	Actin-like 7B	9	111616871-111619239	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA021803, HPA024664	Supportive			Tissue enriched	410	testis: 41.0	adipose tissue: 0.0
IQCF2		ENSG00000184345	IQ motif containing F2	3	51895645-51897440		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	409	testis: 40.9	small intestine: 0.1
PPP3R2	PPP3RL	ENSG00000188386	Protein phosphatase 3, regulatory subunit B, beta	9	104353897-104357283	FDA approved drug targets	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA047157	Uncertain			Tissue enriched	403	testis: 40.3	adipose tissue: 0.0
CCDC42	CCDC42A, FLJ32734	ENSG00000161973	Coiled-coil domain containing 42	17	8633252-8648537	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA024349	Uncertain			Tissue enriched	402	testis: 76.1	lymph node: 0.2
CTRC	CLCR, ELA4	ENSG00000162438	Chymotrypsin C (caldecrin)	1	15764935-15775737	Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA046920	Supportive			Tissue enriched	401	pancreas: 13991.8	ovary: 34.9
C10orf62	bA548K23.1	ENSG00000203942	Chromosome 10 open reading frame 62	10	99349450-99350690	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA036884	Uncertain			Tissue enriched	399	testis: 122.1	kidney: 0.3
GKN1	AMP18, BRICD1, CA11	ENSG00000169605	Gastrokine 1	2	69201705-69208106	Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA047684	Supportive			Tissue enriched	397	stomach: 5910.0	placenta: 14.9
